2026-06-06 17:31:12 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 17:31:12 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://198.105.121.200:6462
2026-06-06 17:32:02 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 17:32:02 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://209.127.138.10:5784
2026-06-06 17:57:24 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-06 17:57:27 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 17:57:27 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://50.114.82.8:6992
2026-06-06 18:47:59 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-06 19:00:28 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-06 19:05:19 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-06 19:05:22 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 19:05:22 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://50.114.82.8:6992
2026-06-06 19:38:31 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-06-06 19:38:37 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 19:38:37 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://38.154.185.97:6370
2026-06-06 19:39:31 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 19:39:31 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://198.23.243.226:6361
2026-06-06 19:40:20 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-06 19:40:20 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://198.23.243.226:6361
2026-06-07 00:22:05 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-07 12:34:52 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-07 12:50:47 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-07 12:50:53 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 12:50:53 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://50.114.82.8:6992
2026-06-07 12:56:53 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-07 12:56:55 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 12:56:55 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://198.105.121.200:6462
2026-06-07 13:05:04 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-07 13:05:08 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 13:05:08 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://38.154.185.97:6370
2026-06-07 13:12:15 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-07 13:12:19 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 13:12:19 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://142.111.67.146:5611
2026-06-07 13:15:20 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-07 13:15:23 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 13:15:23 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://38.154.185.97:6370
2026-06-07 13:17:38 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-06-07 13:17:40 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 13:17:40 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://38.154.185.97:6370
2026-06-07 13:18:30 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 13:18:30 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://198.105.121.200:6462
2026-06-07 13:26:41 | app.utils.image_processing | INFO | Detected 2 banknote candidate(s).
2026-06-07 13:26:42 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 13:26:42 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://23.95.150.145:6114
2026-06-07 13:27:32 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 13:27:32 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://198.105.121.200:6462
2026-06-07 15:02:24 | app.utils.image_processing | INFO | Detected 1 banknote candidate(s).
2026-06-07 15:02:28 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-07 15:02:28 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://84.247.60.125:6095
2026-06-07 21:07:25 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-08 16:50:23 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-08 19:21:12 | app.core.database | INFO | MongoDB connected successfully. Database: banknote_system
2026-06-08 19:25:36 | app.utils.image_processing | INFO | Detected 3 banknote candidate(s).
2026-06-08 19:25:40 | app.services.chrome_driver | INFO | Loaded 10 proxies from proxy.data.
2026-06-08 19:25:40 | app.services.chrome_driver | INFO | Agent 3 ChromeDriver is using proxy: http://142.111.67.146:5611
